init 1652950358497
Regular_callback1_latency 53.719000 0
Regular_callback2_latency 67.661000 0
Regular_callback3_latency 105.418000 0
Regular_callback4_latency 46.470000 0
Regular_callback5_latency 68.625000 0
Regular_callback6_latency 88.550000 0
Regular_callback1_latency 54.117000 1
Regular_callback2_latency 100.128000 1
Regular_callback3_latency 155.842000 1
Regular_callback4_latency 87.020000 1
Regular_callback5_latency 103.329000 1
Regular_callback6_latency 129.624000 1
Regular_callback1_latency 36.684000 2
Regular_callback2_latency 48.072000 2
Regular_callback3_latency 71.463000 2
Regular_callback4_latency 37.542000 2
Regular_callback5_latency 56.781000 2
Regular_callback6_latency 78.368000 2
Regular_callback1_latency 83.888000 3
Regular_callback2_latency 95.655000 3
Regular_callback3_latency 141.957000 3
Regular_callback4_latency 36.620000 3
Regular_callback5_latency 52.274000 3
Regular_callback6_latency 72.045000 3
Regular_callback1_latency 44.968000 4
Regular_callback2_latency 58.483000 4
Regular_callback3_latency 79.545000 4
Regular_callback4_latency 84.217000 4
Regular_callback5_latency 106.073000 4
Regular_callback6_latency 135.431000 4
Regular_callback1_latency 32.061000 5
Regular_callback2_latency 64.770000 5
Regular_callback3_latency 100.400000 5
Regular_callback4_latency 97.054000 5
Regular_callback5_latency 116.739000 5
Regular_callback6_latency 150.112000 5
Regular_callback1_latency 56.882000 6
Regular_callback2_latency 88.227000 6
Regular_callback3_latency 127.564000 6
Regular_callback4_latency 88.041000 6
Regular_callback5_latency 98.900000 6
Regular_callback6_latency 120.161000 6
Regular_callback1_latency 32.825000 7
Regular_callback2_latency 53.198000 7
Regular_callback3_latency 84.169000 7
Regular_callback4_latency 36.710000 7
Regular_callback5_latency 47.321000 7
Regular_callback6_latency 67.017000 7
Regular_callback1_latency 48.346000 8
Regular_callback2_latency 73.786000 8
Regular_callback3_latency 86.046000 8
Regular_callback4_latency 75.573000 8
Regular_callback5_latency 92.882000 8
Regular_callback6_latency 124.650000 8
Regular_callback1_latency 39.400000 9
Regular_callback2_latency 50.447000 9
Regular_callback3_latency 76.974000 9
Regular_callback4_latency 86.711000 9
Regular_callback5_latency 99.702000 9
Regular_callback6_latency 129.422000 9
Regular_callback1_latency 78.832000 10
Regular_callback2_latency 105.281000 10
Regular_callback3_latency 152.464000 10
Regular_callback4_latency 102.553000 10
Regular_callback5_latency 113.693000 10
Regular_callback6_latency 152.888000 10
Regular_callback1_latency 55.410000 11
Regular_callback2_latency 67.058000 11
Regular_callback3_latency 96.961000 11
Regular_callback4_latency 33.577000 11
Regular_callback5_latency 47.846000 11
