init 1653014207002
Regular_callback1_latency 42.165000 0
Regular_callback2_latency 53.624000 0
Regular_callback3_latency 79.334000 0
Regular_callback4_latency 63.175000 0
Regular_callback5_latency 93.895000 0
Regular_callback6_latency 120.322000 0
Regular_callback1_latency 61.165000 1
Regular_callback2_latency 77.608000 1
Regular_callback3_latency 98.180000 1
Regular_callback4_latency 45.920000 1
Regular_callback5_latency 66.819000 1
Regular_callback6_latency 107.893000 1
Regular_callback1_latency 28.438000 2
Regular_callback2_latency 40.221000 2
Regular_callback3_latency 66.504000 2
Regular_callback4_latency 38.780000 2
Regular_callback5_latency 50.561000 2
Regular_callback6_latency 62.442000 2
Regular_callback1_latency 31.909000 3
Regular_callback2_latency 59.223000 3
Regular_callback3_latency 85.192000 3
Regular_callback4_latency 39.310000 3
Regular_callback5_latency 77.242000 3
Regular_callback6_latency 89.277000 3
Regular_callback1_latency 77.263000 4
Regular_callback2_latency 87.852000 4
Regular_callback3_latency 116.960000 4
Regular_callback4_latency 35.107000 4
Regular_callback5_latency 45.887000 4
Regular_callback6_latency 75.791000 4
Regular_callback1_latency 37.569000 5
Regular_callback2_latency 50.110000 5
Regular_callback3_latency 61.646000 5
Regular_callback4_latency 34.764000 5
Regular_callback5_latency 46.843000 5
Regular_callback6_latency 88.155000 5
Regular_callback1_latency 38.520000 6
Regular_callback2_latency 49.235000 6
Regular_callback3_latency 70.377000 6
Regular_callback4_latency 27.399000 6
Regular_callback5_latency 46.263000 6
Regular_callback6_latency 57.122000 6
Regular_callback1_latency 31.310000 7
Regular_callback2_latency 52.347000 7
Regular_callback3_latency 75.641000 7
Regular_callback4_latency 36.784000 7
Regular_callback5_latency 57.421000 7
Regular_callback6_latency 69.795000 7
Regular_callback1_latency 26.363000 8
Regular_callback2_latency 50.770000 8
Regular_callback3_latency 62.520000 8
Regular_callback4_latency 37.181000 8
Regular_callback5_latency 57.487000 8
Regular_callback6_latency 80.404000 8
Regular_callback1_latency 27.874000 9
Regular_callback2_latency 56.246000 9
Regular_callback3_latency 85.957000 9
Regular_callback4_latency 50.737000 9
Regular_callback5_latency 62.781000 9
Regular_callback6_latency 73.554000 9
Regular_callback1_latency 106.929000 10
Regular_callback2_latency 143.049000 10
Regular_callback4_latency 69.699000 10
Regular_callback5_latency 80.517000 10
Regular_callback6_latency 92.505000 10
Regular_callback6_latency 92.505000 10
Regular_callback3_latency 199.787000 10
Regular_callback1_latency 37.842000 11
Regular_callback2_latency 48.427000 11
Regular_callback3_latency 73.588000 11
Regular_callback4_latency 42.304000 11
Regular_callback5_latency 53.001000 11
Regular_callback6_latency 65.048000 11
Regular_callback1_latency 21.774000 12
Regular_callback2_latency 48.563000 12
Regular_callback3_latency 67.390000 12
Regular_callback4_latency 24.501000 12
Regular_callback5_latency 46.051000 12
Regular_callback6_latency 56.924000 12
Regular_callback1_latency 46.467000 13
Regular_callback2_latency 74.602000 13
Regular_callback3_latency 163.052000 13
Regular_callback4_latency 106.421000 13
Regular_callback5_latency 117.624000 13
Regular_callback6_latency 129.531000 13
Regular_callback1_latency 25.406000 14
Regular_callback2_latency 54.344000 14
Regular_callback3_latency 88.739000 14
Regular_callback4_latency 40.715000 14
Regular_callback5_latency 56.550000 14
Regular_callback6_latency 83.701000 14
Regular_callback1_latency 47.141000 15
Regular_callback2_latency 62.617000 15
Regular_callback3_latency 85.746000 15
Regular_callback4_latency 34.775000 15
Regular_callback5_latency 45.541000 15
Regular_callback6_latency 66.369000 15
Regular_callback1_latency 33.183000 16
Regular_callback2_latency 46.094000 16
Regular_callback3_latency 67.318000 16
Regular_callback4_latency 37.066000 16
Regular_callback5_latency 51.856000 16
Regular_callback6_latency 81.770000 16
Regular_callback1_latency 36.097000 17
Regular_callback2_latency 46.931000 17
Regular_callback3_latency 73.557000 17
Regular_callback4_latency 37.206000 17
Regular_callback5_latency 48.186000 17
Regular_callback6_latency 60.170000 17
Regular_callback1_latency 37.027000 18
Regular_callback2_latency 47.635000 18
Regular_callback3_latency 69.837000 18
Regular_callback4_latency 28.405000 18
Regular_callback5_latency 38.951000 18
Regular_callback6_latency 50.444000 18
Regular_callback1_latency 38.313000 19
Regular_callback2_latency 49.408000 19
Regular_callback3_latency 60.767000 19
