init 1652949270139
Regular_callback1_latency 8.380000 0
Regular_callback2_latency 26.801000 0
Regular_callback3_latency 43.840000 0
Regular_callback4_latency 52.859000 0
Regular_callback5_latency 66.279000 0
Regular_callback6_latency 73.240000 0
Regular_callback1_latency 12.873000 1
Regular_callback2_latency 19.933000 1
Regular_callback3_latency 30.421000 1
Regular_callback4_latency 51.012000 1
Regular_callback5_latency 72.611000 1
Regular_callback6_latency 80.069000 1
Regular_callback1_latency 12.994000 2
Regular_callback2_latency 31.965000 2
Regular_callback3_latency 43.049000 2
Regular_callback4_latency 14.755000 2
Regular_callback5_latency 32.778000 2
Regular_callback6_latency 39.846000 2
Regular_callback1_latency 15.634000 3
Regular_callback2_latency 31.487000 3
Regular_callback3_latency 57.391000 3
Regular_callback4_latency 25.982000 3
Regular_callback5_latency 51.746000 3
Regular_callback6_latency 68.444000 3
Regular_callback1_latency 15.323000 4
Regular_callback2_latency 36.145000 4
Regular_callback3_latency 50.369000 4
Regular_callback4_latency 15.563000 4
Regular_callback5_latency 34.832000 4
Regular_callback6_latency 41.767000 4
Regular_callback1_latency 12.366000 5
Regular_callback2_latency 40.541000 5
Regular_callback3_latency 52.085000 5
Regular_callback4_latency 18.239000 5
Regular_callback5_latency 37.322000 5
Regular_callback6_latency 47.693000 5
Regular_callback1_latency 23.847000 6
Regular_callback2_latency 42.693000 6
Regular_callback3_latency 49.799000 6
Regular_callback4_latency 14.173000 6
Regular_callback5_latency 32.258000 6
Regular_callback6_latency 39.329000 6
Regular_callback1_latency 12.259000 7
Regular_callback2_latency 30.514000 7
Regular_callback3_latency 44.944000 7
Regular_callback4_latency 14.365000 7
Regular_callback5_latency 32.750000 7
Regular_callback6_latency 41.055000 7
Regular_callback1_latency 17.532000 8
Regular_callback2_latency 37.388000 8
Regular_callback3_latency 48.082000 8
Regular_callback4_latency 13.074000 8
Regular_callback5_latency 33.019000 8
Regular_callback6_latency 41.243000 8
Regular_callback1_latency 17.037000 9
Regular_callback2_latency 26.054000 9
Regular_callback3_latency 33.110000 9
Regular_callback4_latency 43.664000 9
Regular_callback5_latency 61.384000 9
Regular_callback6_latency 80.323000 9
Regular_callback1_latency 14.528000 10
Regular_callback2_latency 37.565000 10
Regular_callback3_latency 54.452000 10
Regular_callback4_latency 61.491000 10
Regular_callback5_latency 80.530000 10
Regular_callback6_latency 92.345000 10
Regular_callback1_latency 45.575000 11
Regular_callback2_latency 78.868000 11
Regular_callback3_latency 129.127000 11
Regular_callback4_latency 66.107000 11
Regular_callback5_latency 88.526000 11
Regular_callback6_latency 111.819000 11
Regular_callback1_latency 26.018000 12
Regular_callback2_latency 41.507000 12
Regular_callback3_latency 48.764000 12
Regular_callback4_latency 12.456000 12
Regular_callback5_latency 31.802000 12
Regular_callback6_latency 39.099000 12
Regular_callback1_latency 32.427000 13
Regular_callback2_latency 52.700000 13
Regular_callback3_latency 73.969000 13
Regular_callback4_latency 12.556000 13
Regular_callback5_latency 37.030000 13
Regular_callback6_latency 44.349000 13
Regular_callback1_latency 20.638000 14
Regular_callback2_latency 35.788000 14
Regular_callback3_latency 46.650000 14
Regular_callback4_latency 14.267000 14
Regular_callback5_latency 23.332000 14
Regular_callback6_latency 41.040000 14
Regular_callback1_latency 27.964000 15
Regular_callback2_latency 45.378000 15
Regular_callback3_latency 52.767000 15
Regular_callback4_latency 12.118000 15
Regular_callback5_latency 34.220000 15
Regular_callback6_latency 41.907000 15
Regular_callback1_latency 18.034000 16
Regular_callback2_latency 38.545000 16
Regular_callback3_latency 49.951000 16
Regular_callback4_latency 14.108000 16
Regular_callback5_latency 32.219000 16
Regular_callback6_latency 39.475000 16
Regular_callback1_latency 23.483000 17
Regular_callback2_latency 42.768000 17
Regular_callback3_latency 50.280000 17
Regular_callback4_latency 12.186000 17
Regular_callback5_latency 29.761000 17
Regular_callback6_latency 36.810000 17
Regular_callback1_latency 16.663000 18
Regular_callback2_latency 26.633000 18
Regular_callback3_latency 51.120000 18
