init 1652949702565
Regular_callback1_latency 20.605000 0
Regular_callback2_latency 27.250000 0
Regular_callback3_latency 33.569000 0
Regular_callback4_latency 12.072000 0
Regular_callback5_latency 18.277000 0
Regular_callback6_latency 25.068000 0
Regular_callback1_latency 12.384000 1
Regular_callback2_latency 19.154000 1
Regular_callback3_latency 29.013000 1
Regular_callback4_latency 12.870000 1
Regular_callback5_latency 19.304000 1
Regular_callback6_latency 25.517000 1
Regular_callback1_latency 14.887000 2
Regular_callback2_latency 21.430000 2
Regular_callback3_latency 28.613000 2
Regular_callback4_latency 12.065000 2
Regular_callback5_latency 18.367000 2
Regular_callback6_latency 26.648000 2
Regular_callback1_latency 12.072000 3
Regular_callback2_latency 18.620000 3
Regular_callback3_latency 24.842000 3
Regular_callback4_latency 13.759000 3
Regular_callback5_latency 20.111000 3
Regular_callback6_latency 27.219000 3
Regular_callback1_latency 12.172000 4
Regular_callback2_latency 18.635000 4
Regular_callback3_latency 26.842000 4
Regular_callback4_latency 12.249000 4
Regular_callback5_latency 18.487000 4
Regular_callback6_latency 24.826000 4
Regular_callback1_latency 12.117000 5
Regular_callback2_latency 20.207000 5
Regular_callback3_latency 26.471000 5
Regular_callback4_latency 12.018000 5
Regular_callback5_latency 18.307000 5
Regular_callback6_latency 24.612000 5
Regular_callback1_latency 14.131000 6
Regular_callback2_latency 20.383000 6
Regular_callback3_latency 27.155000 6
Regular_callback4_latency 12.007000 6
Regular_callback5_latency 20.530000 6
Regular_callback6_latency 26.835000 6
Regular_callback1_latency 13.304000 7
Regular_callback2_latency 19.734000 7
Regular_callback3_latency 26.060000 7
Regular_callback4_latency 13.930000 7
Regular_callback5_latency 20.626000 7
Regular_callback6_latency 26.982000 7
Regular_callback1_latency 11.987000 8
Regular_callback2_latency 20.069000 8
Regular_callback3_latency 26.323000 8
Regular_callback4_latency 12.052000 8
Regular_callback5_latency 19.333000 8
Regular_callback6_latency 25.701000 8
Regular_callback1_latency 13.091000 9
Regular_callback2_latency 19.403000 9
Regular_callback3_latency 25.931000 9
Regular_callback4_latency 12.026000 9
Regular_callback5_latency 18.450000 9
Regular_callback6_latency 24.716000 9
Regular_callback1_latency 12.122000 10
Regular_callback2_latency 18.678000 10
Regular_callback3_latency 24.958000 10
Regular_callback4_latency 12.368000 10
Regular_callback5_latency 18.596000 10
Regular_callback6_latency 24.772000 10
Regular_callback1_latency 12.025000 11
Regular_callback2_latency 18.239000 11
Regular_callback3_latency 24.524000 11
Regular_callback4_latency 12.263000 11
Regular_callback5_latency 18.499000 11
Regular_callback6_latency 24.668000 11
Regular_callback1_latency 12.177000 12
Regular_callback2_latency 18.461000 12
Regular_callback3_latency 24.668000 12
Regular_callback4_latency 11.905000 12
Regular_callback5_latency 18.174000 12
Regular_callback6_latency 24.419000 12
Regular_callback1_latency 15.049000 13
Regular_callback2_latency 21.658000 13
Regular_callback3_latency 27.944000 13
Regular_callback4_latency 12.038000 13
Regular_callback5_latency 18.259000 13
Regular_callback6_latency 24.427000 13
Regular_callback1_latency 14.234000 14
Regular_callback2_latency 20.520000 14
Regular_callback3_latency 27.070000 14
Regular_callback4_latency 12.021000 14
Regular_callback5_latency 20.161000 14
Regular_callback6_latency 26.403000 14
Regular_callback1_latency 12.696000 15
Regular_callback2_latency 19.095000 15
Regular_callback3_latency 25.750000 15
Regular_callback4_latency 15.042000 15
Regular_callback5_latency 21.420000 15
Regular_callback6_latency 27.582000 15
Regular_callback1_latency 11.979000 16
Regular_callback2_latency 18.189000 16
Regular_callback3_latency 24.379000 16
Regular_callback4_latency 13.825000 16
Regular_callback5_latency 20.109000 16
Regular_callback6_latency 26.309000 16
Regular_callback1_latency 11.911000 17
Regular_callback2_latency 20.536000 17
Regular_callback3_latency 26.762000 17
Regular_callback4_latency 11.894000 17
Regular_callback5_latency 18.107000 17
Regular_callback6_latency 24.937000 17
Regular_callback1_latency 13.914000 18
Regular_callback2_latency 20.178000 18
Regular_callback3_latency 26.313000 18
Regular_callback4_latency 12.008000 18
Regular_callback5_latency 20.025000 18
Regular_callback6_latency 26.260000 18
Regular_callback1_latency 12.433000 19
Regular_callback2_latency 19.018000 19
Regular_callback3_latency 25.782000 19
Regular_callback4_latency 14.167000 19
Regular_callback5_latency 20.504000 19
Regular_callback6_latency 27.373000 19
Regular_callback1_latency 12.913000 20
Regular_callback2_latency 19.577000 20
Regular_callback3_latency 27.660000 20
Regular_callback4_latency 12.274000 20
Regular_callback5_latency 19.057000 20
Regular_callback6_latency 25.203000 20
Regular_callback1_latency 12.006000 21
