init 1653014587674
Regular_callback1_latency 25.911000 0
Regular_callback2_latency 32.627000 0
Regular_callback3_latency 56.410000 0
Regular_callback4_latency 12.008000 0
Regular_callback5_latency 34.745000 0
Regular_callback6_latency 60.932000 0
Regular_callback1_latency 12.031000 1
Regular_callback2_latency 25.602000 1
Regular_callback3_latency 33.083000 1
Regular_callback4_latency 20.268000 1
Regular_callback5_latency 26.892000 1
Regular_callback6_latency 47.461000 1
Regular_callback1_latency 11.931000 2
Regular_callback2_latency 23.589000 2
Regular_callback3_latency 46.234000 2
Regular_callback4_latency 11.994000 2
Regular_callback5_latency 33.711000 2
Regular_callback6_latency 40.287000 2
Regular_callback1_latency 18.323000 3
Regular_callback2_latency 38.172000 3
Regular_callback3_latency 53.005000 3
Regular_callback4_latency 22.491000 3
Regular_callback5_latency 33.936000 3
Regular_callback6_latency 40.858000 3
Regular_callback1_latency 18.389000 4
Regular_callback2_latency 38.925000 4
Regular_callback3_latency 45.728000 4
Regular_callback4_latency 27.846000 4
Regular_callback5_latency 35.709000 4
Regular_callback6_latency 44.151000 4
Regular_callback1_latency 14.675000 5
Regular_callback2_latency 26.091000 5
Regular_callback3_latency 35.128000 5
Regular_callback4_latency 12.897000 5
Regular_callback5_latency 32.988000 5
Regular_callback6_latency 40.602000 5
Regular_callback1_latency 12.040000 6
Regular_callback2_latency 21.317000 6
Regular_callback3_latency 41.483000 6
Regular_callback4_latency 23.972000 6
Regular_callback5_latency 31.299000 6
Regular_callback6_latency 37.801000 6
Regular_callback1_latency 13.081000 7
Regular_callback2_latency 34.879000 7
Regular_callback3_latency 41.436000 7
Regular_callback4_latency 28.768000 7
Regular_callback5_latency 35.362000 7
Regular_callback6_latency 41.780000 7
Regular_callback1_latency 12.389000 8
Regular_callback2_latency 33.039000 8
Regular_callback3_latency 39.537000 8
Regular_callback4_latency 29.055000 8
Regular_callback5_latency 35.683000 8
Regular_callback6_latency 42.084000 8
Regular_callback1_latency 12.325000 9
Regular_callback2_latency 33.186000 9
Regular_callback3_latency 39.680000 9
Regular_callback4_latency 12.228000 9
Regular_callback5_latency 31.627000 9
Regular_callback6_latency 38.025000 9
Regular_callback1_latency 15.745000 10
Regular_callback2_latency 31.609000 10
Regular_callback3_latency 53.368000 10
Regular_callback4_latency 12.097000 10
Regular_callback5_latency 31.018000 10
Regular_callback6_latency 37.347000 10
Regular_callback1_latency 14.852000 11
Regular_callback2_latency 44.312000 11
Regular_callback3_latency 52.898000 11
Regular_callback4_latency 11.819000 11
Regular_callback5_latency 31.053000 11
Regular_callback6_latency 37.592000 11
Regular_callback1_latency 32.164000 12
Regular_callback2_latency 40.130000 12
Regular_callback3_latency 46.695000 12
Regular_callback4_latency 30.074000 12
Regular_callback5_latency 36.571000 12
Regular_callback6_latency 42.884000 12
Regular_callback1_latency 12.914000 13
Regular_callback2_latency 34.526000 13
Regular_callback3_latency 41.223000 13
Regular_callback4_latency 11.877000 13
Regular_callback5_latency 31.415000 13
Regular_callback6_latency 39.645000 13
Regular_callback1_latency 11.918000 14
Regular_callback2_latency 33.211000 14
Regular_callback3_latency 39.924000 14
Regular_callback4_latency 13.851000 14
Regular_callback5_latency 39.013000 14
Regular_callback6_latency 45.784000 14
Regular_callback1_latency 12.388000 15
Regular_callback2_latency 19.593000 15
Regular_callback3_latency 41.845000 15
Regular_callback4_latency 30.407000 15
Regular_callback5_latency 36.995000 15
Regular_callback6_latency 43.294000 15
Regular_callback1_latency 12.265000 16
Regular_callback2_latency 37.367000 16
Regular_callback3_latency 43.838000 16
Regular_callback4_latency 11.763000 16
Regular_callback5_latency 30.370000 16
Regular_callback6_latency 49.150000 16
Regular_callback1_latency 14.906000 17
Regular_callback2_latency 52.771000 17
Regular_callback3_latency 71.653000 17
Regular_callback4_latency 28.334000 17
Regular_callback5_latency 35.544000 17
Regular_callback6_latency 42.229000 17
Regular_callback1_latency 11.910000 18
Regular_callback2_latency 26.599000 18
Regular_callback3_latency 40.786000 18
Regular_callback4_latency 25.241000 18
Regular_callback5_latency 31.958000 18
Regular_callback6_latency 38.354000 18
Regular_callback1_latency 12.349000 19
Regular_callback2_latency 34.289000 19
Regular_callback3_latency 40.880000 19
Regular_callback4_latency 25.230000 19
Regular_callback5_latency 31.724000 19
Regular_callback6_latency 38.036000 19
Regular_callback1_latency 12.333000 20
Regular_callback2_latency 32.297000 20
Regular_callback3_latency 38.629000 20
Regular_callback4_latency 24.626000 20
Regular_callback5_latency 31.287000 20
Regular_callback6_latency 38.421000 20
Regular_callback1_latency 12.090000 21
Regular_callback2_latency 29.189000 21
Regular_callback3_latency 35.512000 21
Regular_callback4_latency 24.509000 21
Regular_callback5_latency 31.219000 21
Regular_callback6_latency 38.965000 21
