init 1653014737050
Regular_callback1_latency 21.848000 0
Regular_callback2_latency 32.589000 0
Regular_callback3_latency 46.842000 0
Regular_callback4_latency 22.195000 0
Regular_callback5_latency 33.138000 0
Regular_callback6_latency 45.125000 0
Regular_callback1_latency 22.919000 1
Regular_callback2_latency 34.057000 1
Regular_callback3_latency 44.714000 1
Regular_callback4_latency 22.848000 1
Regular_callback5_latency 34.149000 1
Regular_callback6_latency 44.657000 1
Regular_callback1_latency 23.650000 2
Regular_callback2_latency 34.498000 2
Regular_callback3_latency 45.052000 2
Regular_callback4_latency 23.655000 2
Regular_callback5_latency 34.390000 2
Regular_callback6_latency 46.035000 2
Regular_callback1_latency 24.039000 3
Regular_callback2_latency 35.080000 3
Regular_callback3_latency 45.703000 3
Regular_callback4_latency 22.788000 3
Regular_callback5_latency 34.501000 3
Regular_callback6_latency 45.136000 3
Regular_callback1_latency 25.238000 4
Regular_callback2_latency 37.044000 4
Regular_callback3_latency 49.579000 4
Regular_callback4_latency 23.024000 4
Regular_callback5_latency 37.113000 4
Regular_callback6_latency 47.712000 4
Regular_callback1_latency 22.522000 5
Regular_callback2_latency 33.489000 5
Regular_callback3_latency 44.598000 5
Regular_callback4_latency 21.848000 5
Regular_callback5_latency 32.528000 5
Regular_callback6_latency 43.581000 5
Regular_callback1_latency 22.574000 6
Regular_callback2_latency 33.260000 6
Regular_callback3_latency 44.109000 6
Regular_callback4_latency 21.729000 6
Regular_callback5_latency 32.431000 6
Regular_callback6_latency 43.029000 6
Regular_callback1_latency 21.868000 7
Regular_callback2_latency 31.157000 7
Regular_callback3_latency 37.909000 7
Regular_callback4_latency 20.807000 7
Regular_callback5_latency 33.367000 7
Regular_callback6_latency 43.969000 7
Regular_callback1_latency 22.419000 8
Regular_callback2_latency 35.165000 8
Regular_callback3_latency 46.496000 8
Regular_callback4_latency 23.067000 8
Regular_callback5_latency 33.756000 8
Regular_callback6_latency 44.468000 8
Regular_callback1_latency 27.422000 9
Regular_callback2_latency 38.446000 9
Regular_callback3_latency 49.068000 9
Regular_callback4_latency 23.739000 9
Regular_callback5_latency 34.601000 9
Regular_callback6_latency 46.888000 9
Regular_callback1_latency 21.769000 10
Regular_callback2_latency 33.468000 10
Regular_callback3_latency 45.172000 10
Regular_callback4_latency 21.979000 10
Regular_callback5_latency 37.161000 10
Regular_callback6_latency 47.936000 10
Regular_callback1_latency 22.483000 11
Regular_callback2_latency 35.597000 11
Regular_callback3_latency 46.782000 11
Regular_callback4_latency 22.752000 11
Regular_callback5_latency 33.726000 11
Regular_callback6_latency 47.438000 11
Regular_callback1_latency 21.929000 12
Regular_callback2_latency 34.554000 12
Regular_callback3_latency 45.141000 12
Regular_callback4_latency 23.517000 12
Regular_callback5_latency 35.456000 12
Regular_callback6_latency 46.188000 12
Regular_callback1_latency 21.500000 13
Regular_callback2_latency 32.812000 13
Regular_callback3_latency 43.841000 13
Regular_callback4_latency 21.846000 13
Regular_callback5_latency 33.803000 13
Regular_callback6_latency 44.607000 13
Regular_callback1_latency 23.786000 14
Regular_callback2_latency 35.266000 14
Regular_callback3_latency 45.989000 14
Regular_callback4_latency 22.003000 14
Regular_callback5_latency 33.828000 14
Regular_callback6_latency 44.493000 14
Regular_callback1_latency 21.881000 15
Regular_callback2_latency 34.043000 15
Regular_callback3_latency 44.802000 15
Regular_callback4_latency 21.379000 15
Regular_callback5_latency 34.051000 15
Regular_callback6_latency 44.895000 15
Regular_callback1_latency 22.709000 16
Regular_callback2_latency 33.628000 16
Regular_callback3_latency 45.413000 16
Regular_callback4_latency 20.750000 16
Regular_callback5_latency 32.956000 16
Regular_callback6_latency 45.359000 16
Regular_callback1_latency 20.947000 17
Regular_callback2_latency 31.578000 17
Regular_callback3_latency 42.175000 17
Regular_callback4_latency 20.696000 17
Regular_callback5_latency 31.314000 17
Regular_callback6_latency 41.957000 17
Regular_callback1_latency 21.941000 18
Regular_callback2_latency 33.968000 18
Regular_callback3_latency 45.604000 18
Regular_callback4_latency 22.107000 18
Regular_callback5_latency 33.122000 18
Regular_callback6_latency 45.362000 18
Regular_callback1_latency 22.114000 19
Regular_callback2_latency 32.857000 19
Regular_callback3_latency 43.421000 19
Regular_callback4_latency 20.862000 19
Regular_callback5_latency 31.497000 19
Regular_callback6_latency 42.050000 19
Regular_callback1_latency 20.809000 20
Regular_callback2_latency 32.072000 20
Regular_callback3_latency 42.776000 20
Regular_callback4_latency 20.856000 20
Regular_callback5_latency 31.536000 20
Regular_callback6_latency 42.117000 20
Regular_callback1_latency 20.586000 21
Regular_callback2_latency 31.133000 21
Regular_callback3_latency 41.806000 21
Regular_callback4_latency 20.612000 21
Regular_callback5_latency 31.193000 21
Regular_callback6_latency 43.496000 21
Regular_callback1_latency 21.680000 22
Regular_callback2_latency 32.478000 22
Regular_callback3_latency 44.865000 22
Regular_callback4_latency 20.654000 22
Regular_callback5_latency 33.436000 22
Regular_callback6_latency 44.049000 22
Regular_callback1_latency 21.399000 23
Regular_callback2_latency 33.928000 23
Regular_callback3_latency 45.617000 23
Regular_callback4_latency 23.224000 23
Regular_callback5_latency 33.724000 23
Regular_callback6_latency 44.195000 23
Regular_callback1_latency 23.088000 24
Regular_callback2_latency 33.773000 24
Regular_callback3_latency 44.322000 24
Regular_callback4_latency 22.859000 24
Regular_callback5_latency 33.432000 24
Regular_callback6_latency 43.939000 24
Regular_callback1_latency 22.846000 25
Regular_callback2_latency 33.953000 25
Regular_callback3_latency 46.364000 25
Regular_callback4_latency 20.947000 25
Regular_callback5_latency 31.639000 25
Regular_callback6_latency 43.936000 25
Regular_callback1_latency 20.839000 26
Regular_callback2_latency 33.204000 26
Regular_callback3_latency 43.793000 26
Regular_callback4_latency 22.767000 26
Regular_callback5_latency 34.134000 26
Regular_callback6_latency 44.776000 26
Regular_callback1_latency 20.693000 27
Regular_callback2_latency 32.128000 27
Regular_callback3_latency 40.270000 27
Regular_callback4_latency 12.021000 27
Regular_callback5_latency 18.460000 27
Regular_callback6_latency 25.819000 27
Regular_callback1_latency 15.171000 28
Regular_callback2_latency 26.098000 28
Regular_callback3_latency 36.763000 28
Regular_callback4_latency 20.775000 28
Regular_callback5_latency 31.421000 28
Regular_callback6_latency 41.986000 28
Regular_callback1_latency 21.322000 29
Regular_callback2_latency 33.118000 29
Regular_callback3_latency 43.898000 29
Regular_callback4_latency 20.913000 29
Regular_callback5_latency 31.583000 29
Regular_callback6_latency 42.186000 29
Regular_callback1_latency 22.388000 30
Regular_callback2_latency 33.259000 30
Regular_callback3_latency 43.908000 30
Regular_callback4_latency 20.586000 30
Regular_callback5_latency 31.621000 30
Regular_callback6_latency 42.197000 30
Regular_callback1_latency 20.688000 31
Regular_callback2_latency 31.953000 31
Regular_callback3_latency 42.570000 31
Regular_callback4_latency 20.662000 31
Regular_callback5_latency 31.727000 31
Regular_callback6_latency 42.354000 31
Regular_callback1_latency 20.601000 32
Regular_callback2_latency 31.187000 32
Regular_callback3_latency 41.697000 32
Regular_callback4_latency 20.612000 32
