init 1652946585782
Regular_callback1_latency 9.402000 0
Regular_callback2_latency 13.327000 0
Regular_callback3_latency 18.835000 0
Regular_callback4_latency 6.251000 0
Regular_callback5_latency 9.993000 0
Regular_callback6_latency 13.984000 0
Regular_callback1_latency 8.555000 1
Regular_callback2_latency 13.262000 1
Regular_callback3_latency 17.794000 1
Regular_callback4_latency 7.857000 1
Regular_callback5_latency 12.895000 1
Regular_callback6_latency 17.279000 1
Regular_callback1_latency 8.290000 2
Regular_callback2_latency 12.835000 2
Regular_callback3_latency 17.205000 2
Regular_callback4_latency 8.995000 2
Regular_callback5_latency 14.282000 2
Regular_callback6_latency 19.098000 2
Regular_callback1_latency 8.450000 3
Regular_callback2_latency 14.585000 3
Regular_callback3_latency 20.047000 3
Regular_callback4_latency 9.437000 3
Regular_callback5_latency 14.074000 3
Regular_callback6_latency 20.331000 3
Regular_callback1_latency 8.359000 4
Regular_callback2_latency 15.085000 4
Regular_callback3_latency 19.944000 4
Regular_callback4_latency 8.768000 4
Regular_callback5_latency 14.157000 4
Regular_callback6_latency 19.811000 4
Regular_callback1_latency 9.301000 5
Regular_callback2_latency 14.196000 5
Regular_callback3_latency 26.600000 5
Regular_callback4_latency 8.820000 5
Regular_callback5_latency 13.430000 5
Regular_callback6_latency 18.384000 5
Regular_callback1_latency 7.930000 6
Regular_callback2_latency 13.425000 6
Regular_callback3_latency 18.536000 6
Regular_callback4_latency 8.723000 6
Regular_callback5_latency 14.149000 6
Regular_callback6_latency 19.544000 6
Regular_callback1_latency 8.569000 7
Regular_callback2_latency 14.846000 7
Regular_callback3_latency 19.671000 7
Regular_callback4_latency 12.180000 7
Regular_callback5_latency 17.384000 7
Regular_callback6_latency 23.414000 7
Regular_callback1_latency 8.266000 8
Regular_callback2_latency 13.366000 8
Regular_callback3_latency 18.876000 8
Regular_callback4_latency 9.504000 8
Regular_callback5_latency 14.729000 8
Regular_callback6_latency 21.151000 8
Regular_callback1_latency 8.744000 9
Regular_callback2_latency 14.416000 9
Regular_callback3_latency 20.377000 9
Regular_callback4_latency 7.502000 9
Regular_callback5_latency 12.454000 9
Regular_callback6_latency 17.275000 9
Regular_callback1_latency 7.953000 10
Regular_callback2_latency 12.484000 10
Regular_callback3_latency 17.004000 10
Regular_callback4_latency 7.216000 10
Regular_callback5_latency 12.376000 10
Regular_callback6_latency 17.099000 10
Regular_callback1_latency 3.889000 11
Regular_callback2_latency 6.421000 11
Regular_callback3_latency 8.773000 11
Regular_callback4_latency 3.957000 11
Regular_callback5_latency 6.230000 11
Regular_callback6_latency 8.527000 11
Regular_callback1_latency 3.945000 12
Regular_callback2_latency 6.478000 12
Regular_callback3_latency 8.858000 12
Regular_callback4_latency 4.566000 12
Regular_callback5_latency 7.333000 12
Regular_callback6_latency 9.635000 12
Regular_callback1_latency 5.723000 13
Regular_callback2_latency 8.283000 13
Regular_callback3_latency 10.698000 13
Regular_callback4_latency 3.964000 13
Regular_callback5_latency 6.607000 13
Regular_callback6_latency 8.715000 13
Regular_callback1_latency 4.630000 14
Regular_callback2_latency 7.309000 14
Regular_callback3_latency 9.781000 14
Regular_callback4_latency 3.945000 14
Regular_callback5_latency 6.543000 14
Regular_callback6_latency 8.927000 14
Regular_callback1_latency 6.733000 15
Regular_callback2_latency 23.882000 15
Regular_callback3_latency 28.092000 15
Regular_callback4_latency 3.834000 15
Regular_callback5_latency 7.215000 15
Regular_callback6_latency 9.511000 15
Regular_callback1_latency 4.016000 16
Regular_callback2_latency 7.950000 16
Regular_callback3_latency 10.786000 16
Regular_callback4_latency 4.470000 16
Regular_callback5_latency 6.786000 16
Regular_callback6_latency 9.025000 16
Regular_callback1_latency 4.866000 17
Regular_callback2_latency 7.831000 17
Regular_callback3_latency 10.597000 17
Regular_callback4_latency 4.986000 17
Regular_callback5_latency 7.487000 17
Regular_callback6_latency 10.011000 17
Regular_callback1_latency 4.181000 18
Regular_callback2_latency 7.111000 18
Regular_callback3_latency 9.470000 18
Regular_callback4_latency 5.495000 18
Regular_callback5_latency 8.003000 18
Regular_callback6_latency 11.410000 18
Regular_callback1_latency 4.417000 19
Regular_callback2_latency 7.140000 19
Regular_callback3_latency 9.567000 19
Regular_callback4_latency 4.013000 19
Regular_callback5_latency 6.565000 19
Regular_callback6_latency 11.440000 19
Regular_callback1_latency 4.419000 20
Regular_callback2_latency 7.076000 20
Regular_callback3_latency 9.640000 20
Regular_callback4_latency 4.378000 20
