init 1653014932198
Regular_callback1_latency 22.721000 0
Regular_callback2_latency 45.209000 0
Regular_callback3_latency 62.759000 0
Regular_callback4_latency 12.791000 0
Regular_callback5_latency 22.221000 0
Regular_callback6_latency 40.076000 0
Regular_callback1_latency 25.171000 1
Regular_callback2_latency 33.155000 1
Regular_callback3_latency 53.200000 1
Regular_callback4_latency 12.577000 1
Regular_callback5_latency 26.767000 1
Regular_callback6_latency 41.256000 1
Regular_callback1_latency 14.692000 2
Regular_callback2_latency 30.360000 2
Regular_callback3_latency 39.223000 2
Regular_callback4_latency 12.493000 2
Regular_callback5_latency 31.933000 2
Regular_callback6_latency 43.232000 2
Regular_callback1_latency 12.874000 3
Regular_callback2_latency 33.646000 3
Regular_callback3_latency 40.551000 3
Regular_callback4_latency 11.788000 3
Regular_callback5_latency 20.827000 3
Regular_callback6_latency 27.059000 3
Regular_callback1_latency 15.839000 4
Regular_callback2_latency 31.569000 4
Regular_callback3_latency 57.597000 4
Regular_callback4_latency 14.046000 4
Regular_callback5_latency 49.459000 4
Regular_callback6_latency 65.942000 4
Regular_callback1_latency 12.926000 5
Regular_callback2_latency 27.601000 5
Regular_callback3_latency 53.569000 5
Regular_callback4_latency 13.450000 5
Regular_callback5_latency 30.889000 5
Regular_callback6_latency 42.936000 5
Regular_callback1_latency 32.127000 6
Regular_callback2_latency 64.148000 6
Regular_callback3_latency 79.652000 6
Regular_callback4_latency 12.186000 6
Regular_callback5_latency 20.274000 6
Regular_callback6_latency 38.524000 6
Regular_callback1_latency 12.515000 7
Regular_callback2_latency 42.912000 7
Regular_callback3_latency 49.880000 7
Regular_callback4_latency 11.955000 7
Regular_callback5_latency 30.849000 7
Regular_callback6_latency 44.556000 7
Regular_callback1_latency 17.971000 8
Regular_callback2_latency 44.999000 8
Regular_callback3_latency 63.314000 8
Regular_callback4_latency 14.299000 8
Regular_callback5_latency 38.354000 8
Regular_callback6_latency 44.963000 8
Regular_callback1_latency 18.398000 9
Regular_callback2_latency 36.911000 9
Regular_callback3_latency 58.762000 9
Regular_callback4_latency 14.706000 9
Regular_callback5_latency 54.680000 9
Regular_callback6_latency 69.665000 9
Regular_callback1_latency 13.538000 10
Regular_callback2_latency 34.837000 10
Regular_callback3_latency 42.440000 10
Regular_callback4_latency 18.940000 10
Regular_callback5_latency 25.298000 10
Regular_callback6_latency 55.063000 10
Regular_callback1_latency 16.499000 11
Regular_callback2_latency 42.855000 11
Regular_callback3_latency 61.772000 11
Regular_callback4_latency 12.684000 11
Regular_callback5_latency 22.569000 11
Regular_callback6_latency 39.818000 11
Regular_callback1_latency 21.907000 12
Regular_callback2_latency 41.573000 12
Regular_callback3_latency 56.543000 12
Regular_callback4_latency 12.025000 12
Regular_callback5_latency 20.095000 12
Regular_callback6_latency 59.269000 12
Regular_callback1_latency 31.024000 13
Regular_callback2_latency 51.270000 13
Regular_callback3_latency 66.723000 13
Regular_callback4_latency 19.481000 13
Regular_callback5_latency 36.774000 13
Regular_callback6_latency 56.897000 13
Regular_callback1_latency 13.383000 14
Regular_callback2_latency 35.536000 14
Regular_callback3_latency 46.026000 14
Regular_callback4_latency 15.685000 14
Regular_callback5_latency 45.637000 14
Regular_callback6_latency 52.504000 14
Regular_callback1_latency 21.695000 15
Regular_callback2_latency 49.992000 15
Regular_callback3_latency 56.596000 15
Regular_callback4_latency 12.394000 15
Regular_callback5_latency 25.163000 15
Regular_callback6_latency 37.808000 15
Regular_callback1_latency 18.434000 16
Regular_callback2_latency 40.781000 16
Regular_callback3_latency 47.199000 16
Regular_callback4_latency 13.217000 16
Regular_callback5_latency 50.756000 16
Regular_callback6_latency 57.581000 16
Regular_callback1_latency 11.976000 17
Regular_callback2_latency 18.586000 17
Regular_callback3_latency 34.257000 17
Regular_callback4_latency 12.096000 17
Regular_callback5_latency 31.703000 17
Regular_callback6_latency 47.487000 17
Regular_callback1_latency 28.204000 18
Regular_callback2_latency 34.664000 18
Regular_callback3_latency 40.852000 18
Regular_callback4_latency 12.354000 18
Regular_callback5_latency 32.080000 18
Regular_callback6_latency 42.385000 18
Regular_callback1_latency 30.754000 19
Regular_callback2_latency 37.553000 19
Regular_callback3_latency 45.043000 19
Regular_callback4_latency 11.931000 19
Regular_callback5_latency 19.194000 19
Regular_callback6_latency 25.420000 19
Regular_callback1_latency 23.467000 20
Regular_callback2_latency 51.797000 20
Regular_callback3_latency 58.355000 20
Regular_callback4_latency 17.387000 20
Regular_callback5_latency 36.493000 20
Regular_callback6_latency 69.097000 20
Regular_callback1_latency 11.904000 21
Regular_callback2_latency 24.308000 21
Regular_callback3_latency 39.502000 21
Regular_callback4_latency 13.594000 21
Regular_callback5_latency 39.993000 21
Regular_callback6_latency 46.530000 21
Regular_callback1_latency 12.348000 22
Regular_callback2_latency 36.047000 22
Regular_callback3_latency 51.556000 22
Regular_callback4_latency 12.770000 22
