init 1653015467042
Regular_callback1_latency 15.964000 0
Regular_callback2_latency 22.785000 0
Regular_callback3_latency 30.420000 0
Regular_callback4_latency 13.086000 0
Regular_callback5_latency 20.035000 0
Regular_callback6_latency 26.189000 0
Regular_callback1_latency 13.168000 1
Regular_callback2_latency 19.520000 1
Regular_callback3_latency 26.113000 1
Regular_callback4_latency 13.590000 1
Regular_callback5_latency 21.793000 1
Regular_callback6_latency 25.483000 1
Regular_callback1_latency 7.955000 2
Regular_callback2_latency 11.868000 2
Regular_callback3_latency 15.560000 2
Regular_callback4_latency 7.974000 2
Regular_callback5_latency 11.650000 2
Regular_callback6_latency 15.215000 2
Regular_callback1_latency 7.034000 3
Regular_callback2_latency 10.731000 3
Regular_callback3_latency 14.311000 3
Regular_callback4_latency 9.575000 3
Regular_callback5_latency 13.295000 3
Regular_callback6_latency 16.899000 3
Regular_callback1_latency 7.854000 4
Regular_callback2_latency 11.557000 4
Regular_callback3_latency 17.020000 4
Regular_callback4_latency 6.863000 4
Regular_callback5_latency 11.750000 4
Regular_callback6_latency 15.615000 4
Regular_callback1_latency 6.856000 5
Regular_callback2_latency 10.514000 5
Regular_callback3_latency 14.809000 5
Regular_callback4_latency 6.865000 5
Regular_callback5_latency 13.537000 5
Regular_callback6_latency 17.270000 5
Regular_callback1_latency 6.866000 6
Regular_callback2_latency 10.532000 6
Regular_callback3_latency 15.180000 6
Regular_callback4_latency 7.912000 6
Regular_callback5_latency 11.606000 6
Regular_callback6_latency 15.225000 6
Regular_callback1_latency 7.060000 7
Regular_callback2_latency 10.693000 7
Regular_callback3_latency 16.641000 7
Regular_callback4_latency 7.842000 7
Regular_callback5_latency 11.439000 7
Regular_callback6_latency 14.967000 7
Regular_callback1_latency 6.882000 8
Regular_callback2_latency 10.495000 8
Regular_callback3_latency 14.025000 8
Regular_callback4_latency 7.999000 8
Regular_callback5_latency 11.621000 8
Regular_callback6_latency 15.196000 8
Regular_callback1_latency 8.707000 9
Regular_callback2_latency 12.356000 9
Regular_callback3_latency 15.895000 9
Regular_callback4_latency 6.849000 9
Regular_callback5_latency 10.604000 9
Regular_callback6_latency 14.377000 9
Regular_callback1_latency 7.154000 10
Regular_callback2_latency 10.796000 10
Regular_callback3_latency 14.336000 10
Regular_callback4_latency 9.847000 10
Regular_callback5_latency 13.526000 10
Regular_callback6_latency 17.111000 10
Regular_callback1_latency 6.835000 11
Regular_callback2_latency 10.442000 11
Regular_callback3_latency 13.966000 11
Regular_callback4_latency 6.857000 11
Regular_callback5_latency 10.915000 11
Regular_callback6_latency 14.473000 11
Regular_callback1_latency 8.681000 12
Regular_callback2_latency 12.353000 12
Regular_callback3_latency 15.894000 12
Regular_callback4_latency 7.878000 12
Regular_callback5_latency 11.505000 12
Regular_callback6_latency 15.046000 12
Regular_callback1_latency 6.833000 13
Regular_callback2_latency 10.480000 13
Regular_callback3_latency 14.015000 13
Regular_callback4_latency 11.137000 13
Regular_callback5_latency 15.086000 13
Regular_callback6_latency 18.937000 13
Regular_callback1_latency 7.318000 14
Regular_callback2_latency 10.954000 14
Regular_callback3_latency 14.496000 14
Regular_callback4_latency 7.047000 14
Regular_callback5_latency 11.698000 14
Regular_callback6_latency 15.520000 14
Regular_callback1_latency 7.891000 15
Regular_callback2_latency 11.698000 15
Regular_callback3_latency 15.341000 15
Regular_callback4_latency 9.962000 15
Regular_callback5_latency 13.713000 15
Regular_callback6_latency 17.306000 15
Regular_callback1_latency 6.853000 16
Regular_callback2_latency 10.569000 16
Regular_callback3_latency 14.117000 16
Regular_callback4_latency 8.009000 16
Regular_callback5_latency 11.727000 16
Regular_callback6_latency 15.318000 16
Regular_callback1_latency 6.782000 17
Regular_callback2_latency 10.411000 17
Regular_callback3_latency 15.868000 17
Regular_callback4_latency 6.839000 17
Regular_callback5_latency 10.574000 17
Regular_callback6_latency 14.231000 17
Regular_callback1_latency 6.957000 18
Regular_callback2_latency 10.574000 18
Regular_callback3_latency 14.650000 18
Regular_callback4_latency 7.453000 18
Regular_callback5_latency 11.077000 18
Regular_callback6_latency 16.499000 18
Regular_callback1_latency 7.133000 19
Regular_callback2_latency 10.741000 19
Regular_callback3_latency 14.259000 19
Regular_callback4_latency 7.947000 19
Regular_callback5_latency 11.721000 19
Regular_callback6_latency 17.628000 19
Regular_callback1_latency 7.748000 20
Regular_callback2_latency 11.472000 20
Regular_callback3_latency 15.095000 20
Regular_callback4_latency 6.816000 20
Regular_callback5_latency 11.555000 20
Regular_callback6_latency 15.173000 20
Regular_callback1_latency 6.811000 21
Regular_callback2_latency 10.392000 21
Regular_callback3_latency 13.944000 21
Regular_callback4_latency 6.890000 21
Regular_callback5_latency 10.571000 21
Regular_callback6_latency 14.215000 21
Regular_callback1_latency 6.848000 22
Regular_callback2_latency 10.495000 22
Regular_callback3_latency 14.042000 22
Regular_callback4_latency 8.034000 22
Regular_callback5_latency 11.865000 22
Regular_callback6_latency 15.660000 22
Regular_callback1_latency 6.826000 23
Regular_callback2_latency 10.449000 23
Regular_callback3_latency 13.985000 23
Regular_callback4_latency 6.916000 23
Regular_callback5_latency 10.555000 23
Regular_callback6_latency 14.250000 23
Regular_callback1_latency 6.813000 24
Regular_callback2_latency 10.420000 24
Regular_callback3_latency 13.939000 24
Regular_callback4_latency 7.164000 24
Regular_callback5_latency 11.386000 24
Regular_callback6_latency 15.043000 24
Regular_callback1_latency 6.868000 25
Regular_callback2_latency 10.471000 25
Regular_callback3_latency 14.009000 25
Regular_callback4_latency 7.942000 25
Regular_callback5_latency 11.625000 25
Regular_callback6_latency 15.198000 25
Regular_callback1_latency 6.819000 26
Regular_callback2_latency 10.434000 26
Regular_callback3_latency 13.969000 26
Regular_callback4_latency 6.926000 26
Regular_callback5_latency 10.563000 26
Regular_callback6_latency 14.924000 26
Regular_callback1_latency 7.471000 27
Regular_callback2_latency 11.129000 27
Regular_callback3_latency 14.674000 27
Regular_callback4_latency 7.033000 27
Regular_callback5_latency 11.714000 27
Regular_callback6_latency 17.283000 27
