init 1652948140032
Regular_callback1_latency 16.682000 0
Regular_callback2_latency 39.237000 0
Regular_callback3_latency 49.502000 0
Regular_callback1_latency 13.136000 1
Regular_callback2_latency 20.788000 1
Regular_callback3_latency 43.947000 1
Regular_callback1_latency 20.742000 2
Regular_callback2_latency 45.259000 2
Regular_callback3_latency 64.219000 2
Regular_callback1_latency 48.448000 3
Regular_callback2_latency 87.013000 3
Regular_callback3_latency 130.418000 3
Regular_callback1_latency 12.067000 4
Regular_callback2_latency 25.104000 4
Regular_callback3_latency 38.051000 4
Regular_callback1_latency 14.775000 5
Regular_callback2_latency 91.255000 5
Regular_callback3_latency 117.476000 5
Regular_callback1_latency 25.683000 6
Regular_callback2_latency 58.766000 6
Regular_callback3_latency 86.401000 6
Regular_callback1_latency 12.099000 7
Regular_callback2_latency 25.005000 7
Regular_callback3_latency 48.048000 7
Regular_callback1_latency 13.036000 8
Regular_callback2_latency 28.108000 8
Regular_callback3_latency 41.268000 8
Regular_callback1_latency 12.880000 9
Regular_callback2_latency 29.740000 9
Regular_callback3_latency 41.881000 9
Regular_callback1_latency 13.392000 10
Regular_callback2_latency 28.719000 10
Regular_callback3_latency 43.241000 10
Regular_callback1_latency 16.341000 11
Regular_callback2_latency 39.055000 11
Regular_callback3_latency 53.831000 11
Regular_callback1_latency 35.112000 12
Regular_callback2_latency 49.956000 12
Regular_callback3_latency 80.178000 12
Regular_callback1_latency 23.790000 13
Regular_callback2_latency 38.787000 13
Regular_callback3_latency 45.742000 13
Regular_callback1_latency 23.001000 14
Regular_callback2_latency 40.350000 14
Regular_callback3_latency 49.314000 14
Regular_callback1_latency 16.719000 15
Regular_callback2_latency 25.259000 15
Regular_callback3_latency 87.953000 15
Regular_callback1_latency 12.781000 16
Regular_callback2_latency 29.608000 16
Regular_callback3_latency 44.038000 16
Regular_callback1_latency 12.361000 17
Regular_callback2_latency 24.594000 17
Regular_callback3_latency 38.679000 17
Regular_callback1_latency 14.692000 18
Regular_callback2_latency 29.185000 18
Regular_callback3_latency 39.676000 18
Regular_callback1_latency 13.373000 19
Regular_callback2_latency 50.178000 19
Regular_callback3_latency 81.946000 19
Regular_callback1_latency 23.585000 20
Regular_callback2_latency 40.952000 20
Regular_callback3_latency 47.860000 20
Regular_callback1_latency 26.347000 21
Regular_callback2_latency 41.717000 21
Regular_callback3_latency 48.577000 21
Regular_callback1_latency 29.414000 22
Regular_callback2_latency 43.618000 22
Regular_callback3_latency 59.321000 22
Regular_callback1_latency 36.055000 23
Regular_callback2_latency 51.667000 23
Regular_callback3_latency 66.165000 23
Regular_callback1_latency 51.265000 24
Regular_callback2_latency 83.568000 24
Regular_callback3_latency 104.008000 24
Regular_callback1_latency 13.005000 25
Regular_callback2_latency 28.039000 25
Regular_callback3_latency 50.557000 25
Regular_callback1_latency 21.401000 26
Regular_callback2_latency 95.957000 26
Regular_callback3_latency 167.568000 26
Regular_callback1_latency 12.373000 27
Regular_callback2_latency 31.823000 27
Regular_callback3_latency 48.798000 27
Regular_callback1_latency 13.303000 28
Regular_callback2_latency 28.972000 28
Regular_callback3_latency 44.000000 28
Regular_callback1_latency 12.731000 29
Regular_callback2_latency 27.864000 29
Regular_callback3_latency 41.824000 29
Regular_callback1_latency 36.985000 30
Regular_callback2_latency 47.788000 30
