init 1653017486925
Regular_callback1_latency 5.949000 0
Regular_callback2_latency 8.331000 0
Regular_callback3_latency 11.294000 0
Regular_callback1_latency 4.070000 1
Regular_callback2_latency 6.349000 1
Regular_callback3_latency 8.631000 1
Regular_callback1_latency 4.102000 2
Regular_callback2_latency 6.334000 2
Regular_callback3_latency 8.485000 2
Regular_callback1_latency 4.062000 3
Regular_callback2_latency 6.375000 3
Regular_callback3_latency 8.583000 3
Regular_callback1_latency 4.120000 4
Regular_callback2_latency 6.414000 4
Regular_callback3_latency 8.651000 4
Regular_callback1_latency 4.042000 5
Regular_callback2_latency 6.289000 5
Regular_callback3_latency 8.481000 5
Regular_callback1_latency 4.114000 6
Regular_callback2_latency 6.358000 6
Regular_callback3_latency 8.527000 6
Regular_callback1_latency 4.030000 7
Regular_callback2_latency 6.289000 7
Regular_callback3_latency 8.456000 7
Regular_callback1_latency 4.076000 8
Regular_callback2_latency 6.320000 8
Regular_callback3_latency 9.126000 8
Regular_callback1_latency 4.222000 9
Regular_callback2_latency 6.546000 9
Regular_callback3_latency 9.205000 9
Regular_callback1_latency 4.036000 10
Regular_callback2_latency 6.743000 10
Regular_callback3_latency 8.947000 10
Regular_callback1_latency 4.003000 11
Regular_callback2_latency 6.243000 11
Regular_callback3_latency 8.415000 11
Regular_callback1_latency 4.108000 12
Regular_callback2_latency 6.321000 12
Regular_callback3_latency 8.501000 12
Regular_callback1_latency 3.999000 13
Regular_callback2_latency 6.219000 13
Regular_callback3_latency 8.378000 13
Regular_callback1_latency 4.020000 14
Regular_callback2_latency 6.261000 14
Regular_callback3_latency 8.443000 14
Regular_callback1_latency 4.010000 15
Regular_callback2_latency 6.248000 15
Regular_callback3_latency 8.419000 15
Regular_callback1_latency 4.026000 16
Regular_callback2_latency 6.246000 16
Regular_callback3_latency 8.406000 16
Regular_callback1_latency 4.009000 17
Regular_callback2_latency 6.225000 17
Regular_callback3_latency 8.405000 17
Regular_callback1_latency 4.065000 18
Regular_callback2_latency 6.284000 18
Regular_callback3_latency 8.466000 18
Regular_callback1_latency 4.266000 19
Regular_callback2_latency 6.613000 19
Regular_callback3_latency 8.818000 19
Regular_callback1_latency 4.029000 20
Regular_callback2_latency 6.290000 20
Regular_callback3_latency 8.448000 20
Regular_callback1_latency 4.114000 21
Regular_callback2_latency 6.479000 21
Regular_callback3_latency 8.751000 21
Regular_callback1_latency 4.453000 22
Regular_callback2_latency 6.719000 22
Regular_callback3_latency 8.866000 22
Regular_callback1_latency 4.030000 23
Regular_callback2_latency 6.846000 23
Regular_callback3_latency 9.041000 23
Regular_callback1_latency 4.016000 24
Regular_callback2_latency 6.457000 24
Regular_callback3_latency 8.607000 24
Regular_callback1_latency 4.031000 25
Regular_callback2_latency 6.270000 25
Regular_callback3_latency 8.786000 25
Regular_callback1_latency 4.035000 26
Regular_callback2_latency 6.324000 26
Regular_callback3_latency 8.803000 26
Regular_callback1_latency 4.060000 27
Regular_callback2_latency 7.368000 27
Regular_callback3_latency 9.562000 27
Regular_callback1_latency 4.133000 28
Regular_callback2_latency 6.558000 28
Regular_callback3_latency 8.731000 28
Regular_callback1_latency 5.089000 29
Regular_callback2_latency 7.422000 29
Regular_callback3_latency 9.616000 29
Regular_callback1_latency 4.068000 30
Regular_callback2_latency 6.334000 30
Regular_callback3_latency 8.509000 30
Regular_callback1_latency 4.284000 31
Regular_callback2_latency 6.518000 31
Regular_callback3_latency 8.681000 31
Regular_callback1_latency 4.009000 32
Regular_callback2_latency 6.228000 32
Regular_callback3_latency 8.393000 32
Regular_callback1_latency 4.076000 33
Regular_callback2_latency 6.312000 33
Regular_callback3_latency 8.678000 33
Regular_callback1_latency 4.028000 34
Regular_callback2_latency 6.254000 34
Regular_callback3_latency 8.400000 34
Regular_callback1_latency 4.031000 35
Regular_callback2_latency 6.286000 35
Regular_callback3_latency 8.424000 35
Regular_callback1_latency 5.012000 36
Regular_callback2_latency 7.509000 36
Regular_callback3_latency 9.815000 36
Regular_callback1_latency 4.032000 37
Regular_callback2_latency 6.418000 37
Regular_callback3_latency 10.352000 37
Regular_callback1_latency 4.127000 38
Regular_callback2_latency 6.734000 38
Regular_callback3_latency 8.906000 38
Regular_callback1_latency 4.444000 39
Regular_callback2_latency 6.679000 39
Regular_callback3_latency 8.834000 39
Regular_callback1_latency 4.050000 40
Regular_callback2_latency 6.285000 40
Regular_callback3_latency 8.447000 40
Regular_callback1_latency 3.998000 41
Regular_callback2_latency 6.221000 41
Regular_callback3_latency 8.596000 41
Regular_callback1_latency 2.490000 42
Regular_callback2_latency 4.000000 42
Regular_callback3_latency 5.383000 42
Regular_callback1_latency 2.431000 43
Regular_callback2_latency 3.918000 43
Regular_callback3_latency 5.325000 43
Regular_callback1_latency 2.476000 44
Regular_callback2_latency 3.955000 44
Regular_callback3_latency 5.338000 44
Regular_callback1_latency 2.441000 45
Regular_callback2_latency 3.906000 45
Regular_callback3_latency 5.293000 45
Regular_callback1_latency 2.496000 46
Regular_callback2_latency 4.012000 46
Regular_callback3_latency 5.430000 46
Regular_callback1_latency 2.526000 47
Regular_callback2_latency 4.007000 47
Regular_callback3_latency 5.378000 47
Regular_callback1_latency 2.483000 48
Regular_callback2_latency 3.997000 48
Regular_callback3_latency 5.871000 48
Regular_callback1_latency 2.460000 49
Regular_callback2_latency 3.920000 49
Regular_callback3_latency 5.278000 49
Regular_callback1_latency 2.460000 50
Regular_callback2_latency 3.887000 50
Regular_callback3_latency 5.661000 50
Regular_callback1_latency 3.464000 51
Regular_callback2_latency 4.943000 51
Regular_callback3_latency 6.356000 51
Regular_callback1_latency 2.585000 52
Regular_callback2_latency 4.071000 52
Regular_callback3_latency 6.083000 52
Regular_callback1_latency 2.642000 53
Regular_callback2_latency 4.267000 53
Regular_callback3_latency 7.612000 53
Regular_callback1_latency 2.475000 54
Regular_callback2_latency 3.877000 54
Regular_callback3_latency 5.285000 54
Regular_callback1_latency 4.585000 55
Regular_callback2_latency 6.836000 55
Regular_callback3_latency 8.978000 55
Regular_callback1_latency 4.416000 56
Regular_callback2_latency 6.645000 56
Regular_callback3_latency 8.834000 56
Regular_callback1_latency 4.031000 57
Regular_callback2_latency 6.258000 57
Regular_callback3_latency 8.559000 57
Regular_callback1_latency 4.124000 58
Regular_callback2_latency 6.398000 58
