init 1653015653006
Regular_callback1_latency 7.423000 0
Regular_callback2_latency 18.014000 0
Regular_callback3_latency 25.103000 0
Regular_callback1_latency 12.219000 1
Regular_callback2_latency 26.585000 1
Regular_callback3_latency 48.867000 1
Regular_callback1_latency 12.186000 2
Regular_callback2_latency 32.777000 2
Regular_callback3_latency 39.129000 2
Regular_callback1_latency 11.802000 3
Regular_callback2_latency 22.762000 3
Regular_callback3_latency 36.622000 3
Regular_callback1_latency 16.557000 4
Regular_callback2_latency 45.600000 4
Regular_callback3_latency 52.277000 4
Regular_callback1_latency 47.549000 5
Regular_callback2_latency 70.868000 5
Regular_callback3_latency 87.937000 5
Regular_callback1_latency 26.254000 6
Regular_callback2_latency 62.713000 6
Regular_callback3_latency 69.468000 6
Regular_callback1_latency 17.786000 7
Regular_callback2_latency 35.597000 7
Regular_callback3_latency 52.613000 7
Regular_callback1_latency 11.825000 8
Regular_callback2_latency 34.769000 8
Regular_callback3_latency 50.204000 8
Regular_callback1_latency 12.018000 9
Regular_callback2_latency 31.785000 9
Regular_callback3_latency 38.157000 9
Regular_callback1_latency 19.296000 10
Regular_callback2_latency 40.695000 10
Regular_callback3_latency 62.214000 10
Regular_callback1_latency 13.016000 11
Regular_callback2_latency 19.232000 11
Regular_callback3_latency 40.791000 11
Regular_callback1_latency 14.495000 12
Regular_callback2_latency 25.192000 12
Regular_callback3_latency 40.599000 12
Regular_callback1_latency 14.711000 13
Regular_callback2_latency 45.751000 13
Regular_callback3_latency 59.103000 13
Regular_callback1_latency 27.261000 14
Regular_callback2_latency 40.200000 14
Regular_callback3_latency 55.007000 14
Regular_callback1_latency 18.481000 15
Regular_callback2_latency 26.180000 15
Regular_callback3_latency 52.539000 15
Regular_callback1_latency 27.214000 16
Regular_callback2_latency 38.490000 16
Regular_callback3_latency 51.020000 16
Regular_callback1_latency 14.800000 17
Regular_callback2_latency 31.070000 17
Regular_callback3_latency 51.496000 17
Regular_callback1_latency 33.167000 18
Regular_callback2_latency 54.892000 18
Regular_callback3_latency 72.961000 18
Regular_callback1_latency 22.850000 19
Regular_callback2_latency 48.152000 19
Regular_callback3_latency 54.586000 19
Regular_callback1_latency 23.520000 20
Regular_callback2_latency 42.560000 20
Regular_callback3_latency 68.866000 20
Regular_callback1_latency 25.489000 21
Regular_callback2_latency 45.483000 21
Regular_callback3_latency 65.444000 21
Regular_callback1_latency 16.756000 22
Regular_callback2_latency 23.160000 22
Regular_callback3_latency 42.068000 22
Regular_callback1_latency 17.421000 23
Regular_callback2_latency 30.905000 23
Regular_callback3_latency 41.562000 23
Regular_callback1_latency 26.377000 24
Regular_callback2_latency 55.992000 24
Regular_callback3_latency 63.713000 24
Regular_callback1_latency 12.055000 25
Regular_callback2_latency 31.542000 25
Regular_callback3_latency 38.052000 25
Regular_callback1_latency 12.414000 26
Regular_callback2_latency 25.680000 26
Regular_callback3_latency 31.826000 26
Regular_callback1_latency 11.922000 27
Regular_callback2_latency 24.261000 27
Regular_callback3_latency 47.247000 27
Regular_callback1_latency 11.759000 28
Regular_callback2_latency 19.686000 28
Regular_callback3_latency 53.942000 28
Regular_callback1_latency 14.642000 29
Regular_callback2_latency 32.464000 29
Regular_callback3_latency 38.632000 29
Regular_callback1_latency 14.900000 30
Regular_callback2_latency 33.719000 30
Regular_callback3_latency 48.504000 30
Regular_callback1_latency 12.594000 31
Regular_callback2_latency 28.044000 31
Regular_callback3_latency 34.219000 31
Regular_callback1_latency 34.789000 32
Regular_callback2_latency 60.749000 32
Regular_callback3_latency 99.278000 32
Regular_callback1_latency 12.026000 33
Regular_callback2_latency 40.496000 33
Regular_callback3_latency 63.194000 33
Regular_callback1_latency 23.490000 34
Regular_callback2_latency 43.116000 34
Regular_callback3_latency 71.269000 34
Regular_callback1_latency 18.567000 35
Regular_callback2_latency 36.773000 35
Regular_callback3_latency 52.782000 35
Regular_callback1_latency 42.917000 36
Regular_callback2_latency 50.794000 36
Regular_callback3_latency 114.828000 36
Regular_callback1_latency 35.774000 37
Regular_callback2_latency 44.194000 37
Regular_callback3_latency 60.161000 37
Regular_callback1_latency 25.693000 38
Regular_callback2_latency 44.482000 38
Regular_callback3_latency 70.274000 38
Regular_callback1_latency 19.021000 39
Regular_callback2_latency 38.576000 39
Regular_callback3_latency 45.665000 39
Regular_callback1_latency 29.413000 40
Regular_callback2_latency 65.800000 40
Regular_callback3_latency 109.276000 40
Regular_callback1_latency 42.446000 41
Regular_callback2_latency 64.518000 41
Regular_callback3_latency 81.399000 41
Regular_callback1_latency 12.850000 42
Regular_callback2_latency 20.152000 42
Regular_callback3_latency 44.364000 42
Regular_callback1_latency 13.459000 43
Regular_callback2_latency 27.649000 43
Regular_callback3_latency 47.780000 43
Regular_callback1_latency 20.706000 44
Regular_callback2_latency 31.291000 44
Regular_callback3_latency 40.340000 44
Regular_callback1_latency 15.856000 45
Regular_callback2_latency 31.700000 45
Regular_callback3_latency 51.911000 45
Regular_callback1_latency 27.169000 46
Regular_callback2_latency 46.492000 46
Regular_callback3_latency 63.881000 46
Regular_callback1_latency 18.885000 47
Regular_callback2_latency 51.286000 47
Regular_callback3_latency 57.749000 47
Regular_callback1_latency 18.893000 48
Regular_callback2_latency 40.928000 48
Regular_callback3_latency 63.204000 48
Regular_callback1_latency 9.731000 49
Regular_callback2_latency 19.435000 49
Regular_callback3_latency 38.211000 49
Regular_callback1_latency 12.695000 50
Regular_callback2_latency 31.934000 50
Regular_callback3_latency 45.097000 50
